,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Acarau,BR,-2.8856,-40.12,77.5,79,3,14.76,clear sky
80,Neryungri,RU,56.6709,124.6491,36.55,50,100,14.09,overcast clouds
81,Verkhoyansk,RU,67.5447,133.385,34.97,78,96,1.74,overcast clouds
82,Oxford,GB,51.7522,-1.256,56.17,92,75,14.97,broken clouds
83,Lavrentiya,RU,65.5833,-171.0,37.62,98,100,11.1,overcast clouds
84,Souillac,MU,-20.5167,57.5167,73.78,73,75,23.02,light rain
85,Zyryanka,RU,65.75,150.85,43.07,46,19,5.95,few clouds
86,Arraial Do Cabo,BR,-22.9661,-42.0278,67.69,85,62,21.27,broken clouds
87,Oistins,BB,13.0667,-59.5333,80.69,78,75,13.8,broken clouds
88,Cockburn Town,TC,21.4612,-71.1419,82.49,80,27,19.26,scattered clouds
89,Saint-Philippe,RE,-21.3585,55.7679,76.59,75,35,12.97,scattered clouds
90,Vaini,TO,-21.2,-175.2,71.76,94,75,8.05,broken clouds
91,Georgetown,MY,5.4112,100.3354,87.73,62,20,8.05,few clouds
92,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,46,0,4.61,clear sky
93,Acapulco,MX,16.8634,-99.8901,78.62,89,100,5.75,overcast clouds
94,Nokaneng,BW,-19.6667,22.2667,70.18,32,2,8.37,clear sky
95,Tadine,NC,-21.55,167.8833,77.7,73,28,7.27,scattered clouds
96,Chuy,UY,-33.6971,-53.4616,58.14,94,100,13.04,overcast clouds
97,Port Elizabeth,ZA,-33.918,25.5701,61.09,82,20,10.36,few clouds
98,Mount Gambier,AU,-37.8333,140.7667,55.31,82,100,11.5,overcast clouds
99,Yeniseysk,RU,58.4497,92.1703,35.91,79,94,8.86,overcast clouds
100,Chernyshevskiy,RU,63.0128,112.4714,35.38,42,56,2.44,broken clouds
101,Afyonkarahisar,TR,38.75,30.6667,55.4,25,1,1.03,clear sky
102,Lorengau,PG,-2.0226,147.2712,85.86,62,0,10.36,clear sky
103,San Joaquin,US,37.9333,-121.3011,78.37,57,0,10.36,clear sky
104,Trojes,AL,41.756,19.962,64.89,78,99,3.74,overcast clouds
105,Cabedelo,BR,-6.9811,-34.8339,74.07,80,8,12.75,clear sky
106,Andapa,MG,-14.65,49.65,66.38,82,70,1.45,broken clouds
107,Fuling,CN,29.7022,107.3919,77.47,60,81,5.12,broken clouds
108,Cabo San Lucas,MX,22.8909,-109.9124,83.52,77,22,3.0,few clouds
109,New Norfolk,AU,-42.7826,147.0587,62.71,64,72,3.31,broken clouds
110,Novyy Yarychiv,UA,49.9044,24.3052,51.48,93,100,6.85,overcast clouds
111,Ribeira Grande,PT,38.5167,-28.7,70.59,73,75,15.79,broken clouds
112,Churapcha,RU,62.0025,132.4325,40.95,65,93,8.3,overcast clouds
113,Nanortalik,GL,60.1432,-45.2371,48.99,96,100,15.41,overcast clouds
114,Seoul,KR,37.5683,126.9778,76.39,23,86,3.87,overcast clouds
115,Andenes,NO,69.3143,16.1194,51.78,71,20,19.57,few clouds
116,Tiksi,RU,71.6872,128.8694,35.53,71,100,24.67,overcast clouds
117,Severo-Kurilsk,RU,50.6789,156.125,49.89,89,93,18.68,light rain
118,Shingu,JP,33.7333,135.9833,79.97,74,50,5.26,scattered clouds
119,Valleyview,CA,55.0667,-117.2859,57.24,67,95,3.44,overcast clouds
120,Tura,IN,25.5198,90.2201,85.64,62,96,2.17,overcast clouds
121,Kuvshinovo,RU,57.0295,34.1725,40.64,93,70,2.48,broken clouds
122,Dikson,RU,73.5069,80.5464,32.99,80,97,17.07,overcast clouds
123,Goias,BR,-15.5807,-49.6362,71.17,81,100,1.88,overcast clouds
124,Oranjemund,NA,-28.55,16.4333,52.14,81,5,7.94,clear sky
125,Longyearbyen,SJ,78.2186,15.6401,46.24,71,75,9.22,broken clouds
126,Baruun-Urt,MN,46.6806,113.2792,66.07,24,92,12.84,overcast clouds
127,Norman Wells,CA,65.282,-126.8329,35.64,87,40,0.0,scattered clouds
128,Luanda,AO,-8.8368,13.2343,70.43,87,90,8.16,overcast clouds
129,Yellowknife,CA,62.456,-114.3525,37.92,87,0,4.61,clear sky
130,Omsukchan,RU,62.5333,155.8,35.62,64,14,0.94,few clouds
131,Yarkovo,RU,57.4028,67.0786,37.89,60,100,15.21,overcast clouds
132,Thompson,CA,55.7435,-97.8558,26.76,93,40,0.0,scattered clouds
133,Hanna,CA,51.6334,-111.9018,58.03,42,30,4.14,scattered clouds
134,Pecanha,BR,-18.5486,-42.5569,59.99,91,52,2.37,broken clouds
135,Ramapuram,IN,13.1167,79.2,90.12,43,49,5.73,scattered clouds
136,Coihaique,CL,-45.5752,-72.0662,42.75,81,100,2.3,light rain
137,Chaman,PK,30.9236,66.4512,80.73,8,0,2.98,clear sky
138,Mehamn,NO,71.0357,27.8492,39.15,81,0,4.61,clear sky
139,Yamada,JP,39.4667,141.95,71.4,68,99,4.43,overcast clouds
140,Sitka,US,57.0531,-135.33,60.69,77,100,13.8,overcast clouds
141,Ancud,CL,-41.8697,-73.8203,52.23,95,100,18.7,moderate rain
142,Kars,TR,40.602,43.095,37.85,87,0,1.14,clear sky
143,Pakxan,LA,18.3778,103.6601,89.87,52,18,3.11,few clouds
144,Jamestown,US,42.097,-79.2353,56.71,75,100,8.05,moderate rain
145,Balkanabat,TM,39.5108,54.3671,73.85,35,13,5.88,few clouds
146,Gainesville,US,29.6516,-82.3248,71.1,87,0,0.0,clear sky
147,Fuyang,CN,32.9,115.8167,84.96,30,81,7.0,broken clouds
148,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,78.89,49,37,4.16,scattered clouds
149,Hithadhoo,MV,-0.6,73.0833,81.57,74,93,12.75,overcast clouds
150,Olafsvik,IS,64.8945,-23.7142,43.95,58,5,3.74,clear sky
151,Benghazi,LY,32.1167,20.0667,73.94,59,3,5.82,clear sky
152,Lompoc,US,34.6391,-120.4579,61.52,93,100,10.36,overcast clouds
153,Madang,PG,-5.2246,145.7966,85.46,64,11,7.56,few clouds
154,Buala,SB,-8.145,159.5921,83.14,71,99,1.95,light rain
155,Salalah,OM,17.0151,54.0924,82.49,89,100,10.36,overcast clouds
156,Aykhal,RU,66.0,111.5,21.49,87,94,6.08,overcast clouds
157,Palmas De Monte Alto,BR,-14.2672,-43.1619,69.53,73,31,9.53,scattered clouds
158,Yumen,CN,40.2833,97.2,76.44,8,100,12.21,overcast clouds
159,Kaitangata,NZ,-46.2817,169.8464,54.95,87,94,2.8,overcast clouds
160,Faya,SA,18.3851,42.4509,66.72,24,0,8.79,clear sky
161,Ouadda,CF,8.0777,22.4007,67.91,95,65,3.69,broken clouds
162,San Francisco,US,37.7749,-122.4194,67.44,91,20,11.99,few clouds
163,Vanavara,RU,60.34,102.2797,38.53,68,100,4.81,overcast clouds
164,Talcahuano,CL,-36.7167,-73.1167,49.68,87,75,3.44,light rain
165,Asau,RO,46.4333,26.4,49.28,63,99,4.63,overcast clouds
166,Alakurtti,RU,66.9672,30.3491,40.57,94,100,4.03,overcast clouds
167,Tasiilaq,GL,65.6145,-37.6368,41.16,68,69,0.34,broken clouds
168,Upernavik,GL,72.7868,-56.1549,33.28,62,99,7.61,overcast clouds
169,Khuzhir,RU,53.1939,107.3397,44.62,63,99,10.87,overcast clouds
170,Bac Lieu,VN,9.285,105.7244,88.32,60,82,9.33,broken clouds
171,Chipinge,ZW,-20.1883,32.6236,70.72,39,0,2.55,clear sky
172,Labuhan,ID,-6.8844,112.2051,90.61,50,54,7.52,broken clouds
173,Nome,US,64.5011,-165.4064,41.07,87,40,4.61,scattered clouds
174,Cayenne,GF,4.9333,-52.3333,75.24,94,20,1.14,few clouds
175,Pathalgaon,IN,22.5667,83.4667,82.08,73,50,2.64,scattered clouds
176,Tazovskiy,RU,67.4667,78.7,31.32,64,39,19.42,scattered clouds
177,Dingle,PH,10.9995,122.6711,78.55,92,99,14.25,overcast clouds
178,Guerrero Negro,MX,27.9769,-114.0611,73.85,81,1,10.96,clear sky
179,Katsuura,JP,35.1333,140.3,76.8,70,2,9.22,clear sky
180,Tessalit,ML,20.1986,1.0114,86.83,23,54,4.85,broken clouds
181,Zafra,ES,38.4167,-6.4167,56.64,48,20,2.01,few clouds
182,Chokurdakh,RU,70.6333,147.9167,32.85,60,88,12.91,overcast clouds
183,Paamiut,GL,61.994,-49.6678,45.57,94,100,18.7,overcast clouds
184,De-Kastri,RU,51.4667,140.7833,61.0,77,78,11.92,broken clouds
185,Asadabad,IR,34.7824,48.1185,64.35,49,0,7.61,clear sky
186,Cidreira,BR,-30.1811,-50.2056,61.05,88,100,11.5,overcast clouds
187,Pevek,RU,69.7008,170.3133,33.42,67,32,4.88,scattered clouds
188,Jenbach,AT,47.4013,11.7406,41.99,97,100,1.77,overcast clouds
189,Coruripe,BR,-10.1256,-36.1756,72.84,83,18,10.42,few clouds
190,Lata,PT,40.1629,-8.3327,59.07,55,0,7.23,clear sky
191,Llangefni,GB,53.2556,-4.3106,56.66,67,100,20.71,overcast clouds
192,Biltine,TD,14.5333,20.9167,81.77,55,99,1.45,overcast clouds
193,Axim,GH,4.8699,-2.2405,74.68,91,34,7.18,light rain
194,Aksarka,RU,66.5606,67.7975,32.88,67,32,11.7,scattered clouds
195,Fortuna,US,40.5982,-124.1573,57.34,88,2,3.44,clear sky
196,Santo Augusto,BR,-27.8508,-53.7772,54.46,98,100,5.1,overcast clouds
197,Ust-Maya,RU,60.4167,134.5333,36.97,98,100,5.08,moderate rain
198,Alice Town,BS,25.7167,-79.3,83.57,74,96,12.68,overcast clouds
199,Mount Pleasant,US,32.7941,-79.8626,76.98,82,0,6.91,clear sky
200,Peniche,PT,39.3558,-9.3811,59.11,84,0,18.3,clear sky
201,Muroto,JP,33.2833,134.15,78.06,73,1,7.0,clear sky
202,Leningradskiy,RU,69.3833,178.4167,33.57,91,100,8.46,light snow
203,Miranda De Ebro,ES,42.6865,-2.947,51.98,79,84,1.77,broken clouds
204,Narsaq,GL,60.9167,-46.05,52.02,99,100,2.73,light rain
205,Komsomolskiy,UZ,40.4272,71.7189,79.52,21,0,4.61,clear sky
206,Provideniya,RU,64.3833,-173.3,39.36,93,100,15.99,light intensity shower rain
207,Faanui,PF,-16.4833,-151.75,78.51,76,34,20.74,scattered clouds
208,Barstow,US,34.8986,-117.0228,81.59,20,2,1.63,clear sky
209,Sur,OM,22.5667,59.5289,89.35,51,6,8.16,clear sky
210,Vardo,NO,70.3705,31.1107,44.58,87,20,10.36,few clouds
211,Maua,BR,-23.6678,-46.4614,62.37,95,77,3.6,broken clouds
212,Kodiak,US,57.79,-152.4072,47.71,87,75,0.0,broken clouds
213,Quelimane,MZ,-17.8786,36.8883,75.15,94,0,9.22,clear sky
214,Guanica,PR,17.9716,-66.908,77.95,90,94,7.9,overcast clouds
215,Saint George,US,37.1041,-113.5841,81.19,20,0,4.61,clear sky
216,Montague,US,42.5356,-72.5351,62.46,98,90,4.5,overcast clouds
217,Malakal,SS,9.5334,31.6605,74.79,91,99,2.51,overcast clouds
218,Sola,VU,-13.8833,167.55,81.14,76,21,11.72,few clouds
219,Kaputa,ZM,-8.4689,29.6619,75.09,42,80,1.97,broken clouds
220,Bambous Virieux,MU,-20.3428,57.7575,76.21,73,75,23.02,light rain
221,Garden City,US,42.3256,-83.331,57.22,92,100,6.91,overcast clouds
222,Weinan,CN,34.5036,109.5089,81.79,31,32,5.19,scattered clouds
223,Westport,US,41.1415,-73.3579,62.82,90,75,4.0,broken clouds
224,Itarema,BR,-2.9248,-39.9167,77.59,78,4,14.2,clear sky
225,Vilhena,BR,-12.7406,-60.1458,76.69,55,61,2.13,broken clouds
226,Hamilton,US,39.1834,-84.5333,61.86,80,0,5.75,clear sky
227,Hofn,IS,64.2539,-15.2082,40.71,44,0,18.81,clear sky
228,Ahipara,NZ,-35.1667,173.1667,60.35,73,66,15.46,broken clouds
229,Murgab,TM,37.4966,61.9714,73.27,43,0,13.8,haze
230,Bikaner,IN,28.0167,73.3,90.77,41,11,11.54,few clouds
231,Kununurra,AU,-15.7667,128.7333,102.18,22,8,11.5,clear sky
232,Busing,PH,13.1514,122.9714,83.71,73,87,8.95,overcast clouds
233,Dilla,ET,6.41,38.31,64.74,84,80,2.68,light rain
234,Bonthe,SL,7.5264,-12.505,73.67,94,100,4.99,moderate rain
235,Aklavik,CA,68.2191,-135.0107,37.4,84,100,3.15,overcast clouds
236,Igarka,RU,67.4667,86.5833,34.56,60,29,12.73,scattered clouds
237,Luganville,VU,-15.5333,167.1667,82.47,73,26,5.39,scattered clouds
238,Makakilo City,US,21.3469,-158.0858,79.12,87,100,3.44,moderate rain
239,San Vicente,AR,-26.6167,-54.1333,54.34,99,100,3.24,overcast clouds
240,Kasama,ZM,-10.2129,31.1808,67.64,52,45,9.4,scattered clouds
241,Bingol,TR,38.8847,40.4939,57.72,29,0,6.91,clear sky
242,Nabire,ID,-3.3667,135.4833,84.79,70,48,4.97,moderate rain
243,Rochelle,FR,46.25,-1.0,51.89,87,0,2.3,clear sky
244,Meulaboh,ID,4.1363,96.1285,83.03,70,100,3.6,overcast clouds
245,Cururupu,BR,-1.8283,-44.8683,74.35,89,22,3.87,few clouds
246,Marsa Matruh,EG,31.3525,27.2453,75.47,72,1,8.12,clear sky
247,Umm Kaddadah,SD,13.6017,26.6876,85.73,38,100,7.87,overcast clouds
248,Madimba,TZ,-10.4,40.3333,77.79,77,34,3.98,scattered clouds
249,Nioki,CD,-2.7167,17.6833,71.42,94,39,2.15,moderate rain
250,Kaduna,NG,10.5222,7.4383,72.64,84,96,3.44,overcast clouds
251,Batagay-Alyta,RU,67.8006,130.4114,30.31,78,96,2.1,overcast clouds
252,Fairbanks,US,64.8378,-147.7164,42.98,77,40,0.0,scattered clouds
253,Macusani,PE,-14.0833,-70.4333,37.94,85,100,4.85,overcast clouds
254,Chapais,CA,49.7834,-74.8492,47.98,88,97,2.19,overcast clouds
255,Marijampole,LT,54.5667,23.35,49.41,72,99,5.99,overcast clouds
