,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
415,Hirara,JP,82.4,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
417,Buraydah,SA,77.83,clear sky,26.326,43.975,Mövenpick Qassim
424,Cumbum,IN,83.57,broken clouds,9.7333,77.3,Hotel Sagar Rooms
437,Kondagaon,IN,79.25,few clouds,19.6,81.6667,AYAN MOTER
438,Langsa,ID,77.7,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
443,Buala,SB,84.34,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
448,Gizo,SB,84.69,few clouds,-8.103,156.8419,Imagination Island
455,Meulaboh,ID,83.7,overcast clouds,4.1363,96.1285,Kost Pria
457,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
459,Port Moresby,PG,82.6,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
464,Araguaina,BR,76.08,few clouds,-7.1911,-48.2072,Hotel São Vicente
467,Chabahar,IR,81.59,overcast clouds,25.2919,60.643,هتل گدروشیا
470,Boa Vista,BR,78.21,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
478,Monrovia,LR,75.33,moderate rain,6.3005,-10.7969,Sunset Inn
495,Tautira,PF,75.87,light rain,-17.7333,-149.15,Pension Oaoa
498,Bandarbeyla,SO,78.85,overcast clouds,9.4942,50.8122,JABIR HOTEL
499,Sabang,ID,81.61,overcast clouds,5.8933,95.3214,Hotel Citra
503,Bela,IN,84.06,overcast clouds,25.9333,81.9833,Raj Bhawan
509,Piste,MX,75.25,scattered clouds,20.7,-88.5833,Hotel Villas Arqueologicas Chichen Itza
512,Kinablangan,PH,84.67,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
518,Gohand,IN,79.68,overcast clouds,25.7,79.55,Krishan Kant New Pulaw&Chhole Bhatole
519,Portobelo,PA,78.12,broken clouds,9.55,-79.65,Scuba Portobelo
520,Alugan,PH,84.7,overcast clouds,12.2188,125.4808,JM Lodge
527,Kieta,PG,84.69,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
532,Basco,PH,81.95,broken clouds,20.4487,121.9702,Nathaniel's Lodge
533,Neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
534,Pitimbu,BR,75.79,clear sky,-7.4706,-34.8086,Reserva do Abiaí
536,Mahroni,IN,76.59,overcast clouds,24.5862,78.7288,Sahu Samaj Dharmashala
539,Phimai,TH,83.23,overcast clouds,15.2232,102.4947,Benya Guest House
544,Mahibadhoo,MV,82.99,overcast clouds,3.7833,72.9667,Omadhoo Inn
548,Lahaina,US,84.2,overcast clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
550,Luganville,VU,83.01,broken clouds,-15.5333,167.1667,The Espiritu Hotel
551,Botou,CN,78.57,broken clouds,38.0667,116.5667,Hanting Hotel Huanghua City Hall
552,Tabanan,ID,84.65,broken clouds,-8.5413,115.1252,Puri Anom Homestay
557,Rafsanjan,IR,77.58,clear sky,30.4067,55.9939,Rafsanjan Tourism Hotel
567,Saryozek,KZ,75.67,clear sky,44.3583,77.9753,Gostinitsa
570,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
571,Banda Aceh,ID,83.84,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
573,Jacareacanga,BR,76.55,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
576,Porto Novo,BJ,75.0,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
581,Sakakah,SA,76.84,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
583,Kavaratti,IN,81.84,few clouds,10.5669,72.642,Green leaf
590,Midland,US,77.68,clear sky,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
591,Aksu,CN,76.51,clear sky,41.1231,80.2644,Pudong Holiday Hotel
594,Shihezi,CN,82.22,clear sky,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
599,Awbari,LY,77.09,overcast clouds,26.5921,12.7805,استراحة الشارب العائلي
603,Emerald,AU,83.34,clear sky,-23.5333,148.1667,The Irish Village
609,Jasper,US,78.89,clear sky,37.2001,-94.3502,Guest House Motel
615,Fort Wellington,GY,79.43,clear sky,6.4,-57.6,TE'AMO Entertainment Park
617,Yeppoon,AU,83.98,clear sky,-23.1333,150.7333,Villa Mar Colina
620,Abdanan,IR,79.05,clear sky,32.9926,47.4198,خدمات موبایل میرزایی
624,Koumac,NC,78.39,few clouds,-20.5667,164.2833,Le Monitel
626,Jaru,BR,78.3,overcast clouds,-10.4389,-62.4664,Hotel Paraná
627,Miri,MY,83.86,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
636,Ewa Beach,US,82.35,broken clouds,21.3156,-158.0072,Base Lodging
639,Ferry Pass,US,78.64,clear sky,30.5102,-87.2125,Hampton Inn Pensacola-Airport (Cordova Mall Area)
640,Port-Gentil,GA,76.78,light rain,-0.7193,8.7815,Fengshui Residence
644,Qui Nhon,VN,81.19,light rain,13.7667,109.2333,Seagull Hotel
651,Beruwala,LK,83.01,overcast clouds,6.4788,79.9828,The Palms Hotel
652,Dawlatabad,AF,79.74,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
653,Mangan,IN,75.85,overcast clouds,27.5167,88.5333,Hotel Mout View
663,Tamandare,BR,75.09,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
